Id,Street_name,Street_number,District,Sq_mt_built,Sq_mt_useful,N_rooms,N_bathrooms,N_floors,Price,Has_parking_included,Built_year
17520,Avenida de Menéndez Pelayo,,5492.17 €/m2) - District 14: Retiro,103,96,4,2,,650000,NO,1/1/1915
17511,Calle de Fernán Gonzalez,59,5492.17 €/m2) - District 14: Retiro,133,123,4,2,,660000,NO,1/1/1951
17464,Calle de Alfonso XII,19,6739.32 €/m2) - District 14: Retiro,35,30,1,1,,385000,NO,1/1/1925
17451,Calle de Valderribas,,4105.12 €/m2) - District 14: Retiro,115,110,3,2,,400000,NO,1/1/1954
17440,Calle del Marqués de Lozoya,12,4246.58 €/m2) - District 14: Retiro,139,,3,1,,580000,NO,1/1/1981
17425,WALIA,,4935.6 €/m2) - District 14: Retiro,120,,3,2,,360000,NO,1/1/1953
17416,Calle de Valderribas,1,4105.12 €/m2) - District 14: Retiro,73,66,3,1,,337000,NO,1/1/1981
17414,Calle de Valderribas,1,4105.12 €/m2) - District 14: Retiro,73,66,3,1,,337000,NO,1/1/1981
17409,Calle de Lope de Rueda,,5492.17 €/m2) - District 14: Retiro,171,,4,3,,875000,NO,1/1/1970
17404,Calle de Ibiza. Madrid,,5492.17 €/m2) - District 14: Retiro,50,45,2,1,,330000,NO,1/1/1931
17394,Calle de O'Donnell,,5492.17 €/m2) - District 14: Retiro,234,220,4,4,,2370000,YES,1/1/1973
17393,Calle de Sánchez Barcáiztegui,,4105.12 €/m2) - District 14: Retiro,120,,2,2,,485000,YES,1/1/1968
17385,Urb. Niño Jesús,,4935.6 €/m2) - District 14: Retiro,221,,4,3,,790000,YES,1/1/1969
17382,Calle de Granada,,4105.12 €/m2) - District 14: Retiro,90,,3,1,,410000,NO,1/1/1965
17381,Calle Julián Gayarre,,4105.12 €/m2) - District 14: Retiro,140,,4,2,,599900,NO,1/1/1935
17378,Calle los Mesejo,22,4020.62 €/m2) - District 14: Retiro,54,,1,1,,179000,NO,1/1/1935
17370,Plaza de los Reyes Magos,,4935.6 €/m2) - District 14: Retiro,195,140,4,4,,775000,YES,1/1/1970
17369,Calle de Narciso Serra,,4105.12 €/m2) - District 14: Retiro,108,68,2,2,,495000,NO,1/1/2019
17368,Calle de Alfonso XII. Madrid,,6739.32 €/m2) - District 14: Retiro,394,,4,3,,3200000,NO,1/1/2018
17356,Calle Cerro de la Plata,,4020.62 €/m2) - District 14: Retiro,80,75,2,1,,469000,YES,1/1/1998
17355,Calle de Cavanilles,,4105.12 €/m2) - District 14: Retiro,79,,2,1,,320000,NO,1/1/1971
17353,Calle Sirio,,4246.58 €/m2) - District 14: Retiro,130,,4,3,,480000,YES,1/1/1976
17350,Calle Martínez Corrochano,6,4020.62 €/m2) - District 14: Retiro,75,,1,1,,235000,YES,1/1/2008
17349,Calle de O'Donnell,,5492.17 €/m2) - District 14: Retiro,180,,3,3,,1980000,NO,1/1/1974
17348,granada,,4105.12 €/m2) - District 14: Retiro,60,55,2,1,,390000,YES,1/1/2006
17343,Calle de Alberto Bosch,,6739.32 €/m2) - District 14: Retiro,153,,3,2,,1060000,NO,1/1/1930
17341,Calle del Doctor Esquerdo,65,4246.58 €/m2) - District 14: Retiro,77,,1,1,,360000,YES,1/1/2008
17338,Calle del Marqués de Lozoya,12,4246.58 €/m2) - District 14: Retiro,141,114,3,2,,580000,YES,1/1/1981
17337,Calle del Marqués de Lozoya,,4246.58 €/m2) - District 14: Retiro,139,114,3,3,,580000,YES,1/1/1981
17332,Avenida de la Ciudad de Barcelona,59,4105.12 €/m2) - District 14: Retiro,120,100,4,2,,420000,NO,1/1/1966
17331,Calle de Garibay,10,4020.62 €/m2) - District 14: Retiro,96,70,2,2,,530000,YES,1/1/2008
17330,Calle Sirio,60,4246.58 €/m2) - District 14: Retiro,186,155,5,3,,695000,NO,1/1/1978
17327,Plaza de los Reyes Magos,3,4935.6 €/m2) - District 14: Retiro,194,139,4,4,,790000,YES,1/1/1970
17326,Calle de Abtao,8,4105.12 €/m2) - District 14: Retiro,215,,4,2,,790000,YES,1/1/2006
17321,Calle de Ibiza. Madrid,,5492.17 €/m2) - District 14: Retiro,132,123,5,2,,652000,NO,1/1/1954
17317,Paseo de la Infanta Isabel,,6739.32 €/m2) - District 14: Retiro,167,,5,2,,649000,NO,1/1/1900
17316,Avenida de la Ciudad de Barcelona,,4105.12 €/m2) - District 14: Retiro,41,39,2,1,,160000,NO,1/1/1930
17315,Paseo de la Infanta Isabel,,6739.32 €/m2) - District 14: Retiro,167,,5,2,,649000,NO,1/1/1900
17314,Calle de Narváez,,5492.17 €/m2) - District 14: Retiro,111,100,4,1,,590000,NO,1/1/1939
17313,Calle Jesus Aprendiz,,4935.6 €/m2) - District 14: Retiro,236,,4,3,,1155000,YES,1/1/1988
17312,Calle de Alberto Bosch,,6739.32 €/m2) - District 14: Retiro,97,,2,1,,700000,NO,1/1/1920
17299,Calle José Martinez de Velasco,,4246.58 €/m2) - District 14: Retiro,142,,5,2,,580000,NO,1/1/1961
17298,Calle del Alcalde Sáinz de Baranda,,5492.17 €/m2) - District 14: Retiro,48,42,1,1,,390000,NO,1/1/1931
17296,Calle de Lope de Rueda,30,5492.17 €/m2) - District 14: Retiro,78,72,3,1,,396000,NO,1/1/1928
17294,Calle de Garibay,4,4020.62 €/m2) - District 14: Retiro,174,,2,2,,706000,NO,1/1/2020
17293,MENENDEZ PELAYO,,4105.12 €/m2) - District 14: Retiro,76,69,2,1,,374000,NO,1/1/1940
17291,Narvaez,,5492.17 €/m2) - District 14: Retiro,27,,1,1,,190000,NO,1/1/1925
17289,Calle del Comercio,8,4105.12 €/m2) - District 14: Retiro,185,170,4,2,,695000,YES,1/1/2000
17285,Calle del Marqués de Lozoya,,4246.58 €/m2) - District 14: Retiro,170,135,4,2,,650000,YES,1/1/1985
17284,Avenida de la Ciudad de Barcelona,,4020.62 €/m2) - District 14: Retiro,30,,1,1,,166000,NO,1/1/1971
17283,fernan gonzalez,51,5492.17 €/m2) - District 14: Retiro,114,,3,2,,567000,NO,1/1/1950
17282,Calle Julian Gayarre,,4105.12 €/m2) - District 14: Retiro,145,130,3,2,,600000,NO,1/1/1935
17279,Calle de Alfonso XII,,6739.32 €/m2) - District 14: Retiro,157,,2,2,,1500000,YES,1/1/1910
17278,Calle de Alfonso XII,,6739.32 €/m2) - District 14: Retiro,394,,4,4,,3120000,YES,1/1/1910
17277,Calle de Garibay,4,4020.62 €/m2) - District 14: Retiro,87,62,2,2,,425000,NO,1/1/2020
17276,Calle de Garibay,4,4020.62 €/m2) - District 14: Retiro,103,,2,2,,496000,NO,1/1/2020
17275,Calle de Garibay,4,4020.62 €/m2) - District 14: Retiro,72,,1,1,,357000,NO,1/1/2020
17274,Plaza Conde de Casal,2,4935.6 €/m2) - District 14: Retiro,92,84,3,1,,359000,NO,1/1/1958
17273,Calle de Juan de Urbieta,18,4105.12 €/m2) - District 14: Retiro,39,33,0,1,,165000,NO,1/1/1915
17272,federico moreno torroba,,4020.62 €/m2) - District 14: Retiro,215,,3,3,,865000,YES,1/1/1988
17271,Paseo de la Reina Cristina,15,6739.32 €/m2) - District 14: Retiro,152,117,3,2,,775000,NO,1/1/1977
17270,Avenida de la Ciudad de Barcelona,,4105.12 €/m2) - District 14: Retiro,110,,3,2,,550000,NO,1/1/1996
17269,Calle Doctor Esquerdo,,4246.58 €/m2) - District 14: Retiro,118,,3,2,,505000,YES,1/1/1960
17268,Calle de Alberto Bosch,,6739.32 €/m2) - District 14: Retiro,138,121,3,2,,1060000,YES,1/1/1930
17267,Calle del Doctor Castelo. Madrid,,5492.17 €/m2) - District 14: Retiro,151,135,3,3,,900000,NO,1/1/1983
17266,Calle del Alcalde Sáinz de Baranda,80,4246.58 €/m2) - District 14: Retiro,101,,4,1,,420000,YES,1/1/1952
17265,Calle de Fernán Gonzalez,,5492.17 €/m2) - District 14: Retiro,84,80,2,1,,490000,NO,1/1/1950
17264,Avenida de Menéndez Pelayo,,4105.12 €/m2) - District 14: Retiro,125,105,4,2,,520000,NO,1/1/1970
17263,Avenida de la Ciudad de Barcelona,77,4105.12 €/m2) - District 14: Retiro,46,43,1,1,,194000,NO,1/1/1910
17262,Calle Estrella Polar,,4246.58 €/m2) - District 14: Retiro,99,91,3,2,,395000,NO,1/1/1960
17261,O´Donnell,,5492.17 €/m2) - District 14: Retiro,198,,3,3,,1800000,YES,1/1/1977
17260,Avenida de Menéndez Pelayo,,4105.12 €/m2) - District 14: Retiro,124,104,4,2,,520000,NO,1/1/1970
17258,Calle de Juan de Urbieta,42,4105.12 €/m2) - District 14: Retiro,75,,2,1,,356000,NO,1/1/1960
17257,Calle de Luis Mitjans. Madrid,,4020.62 €/m2) - District 14: Retiro,60,48,3,1,,215000,NO,1/1/1945
17252,Calle del Cerro Negro,,4020.62 €/m2) - District 14: Retiro,104,,3,2,,399000,YES,1/1/2005
17241,Calle del Alcalde Sáinz de Baranda,61,5492.17 €/m2) - District 14: Retiro,125,114,3,2,,599950,NO,1/1/1952
17240,Calle de Juan Valera,,6739.32 €/m2) - District 14: Retiro,140,,2,1,2,800000,NO,1/1/1929
17238,Calle de Valderribas,,4020.62 €/m2) - District 14: Retiro,60,40,1,1,,240000,NO,1/1/1996
17235,Calle Jativa,29,4020.62 €/m2) - District 14: Retiro,100,80,3,2,,497000,YES,1/1/2001
17233,Calle de Antonio Acuña,,5492.17 €/m2) - District 14: Retiro,147,,2,2,,840000,NO,1/1/1946
17231,Calle del Alcalde Sáinz de Baranda,109,4246.58 €/m2) - District 14: Retiro,72,58,2,1,,410000,NO,1/1/1974
17230,Calle Sirio,,4246.58 €/m2) - District 14: Retiro,150,130,4,2,,580000,NO,1/1/1986
17229,Calle de Sánchez Barcáiztegui,,4105.12 €/m2) - District 14: Retiro,120,,4,2,,439000,NO,1/1/1962
17228,alcaide sainz de baranda,42,5492.17 €/m2) - District 14: Retiro,94,,2,2,,561000,NO,1/1/1960
17227,Calle de Lope de Rueda,,5492.17 €/m2) - District 14: Retiro,61,,2,1,,380000,NO,1/1/1918
17225,Calle de Cavanilles,,4105.12 €/m2) - District 14: Retiro,124,,3,2,,575000,NO,1/1/1955
17221,Avenida de la Ciudad de Barcelona,,4105.12 €/m2) - District 14: Retiro,102,77,2,1,,358000,NO,1/1/2008
17220,Calle del Doctor Esquerdo,,4246.58 €/m2) - District 14: Retiro,105,86,3,1,,379000,NO,1/1/1957
17218,Calle Francisco Abril,,4020.62 €/m2) - District 14: Retiro,99,,3,2,,430000,YES,1/1/2021
17217,Calle del Doctor Esquerdo,,4105.12 €/m2) - District 14: Retiro,98,,3,2,,440000,NO,1/1/1980
17215,Calle de Federico Moreno Torroba,,4020.62 €/m2) - District 14: Retiro,130,119,4,2,,587000,YES,1/1/1988
17213,Avenida del Mediterráneo,,4105.12 €/m2) - District 14: Retiro,83,,3,2,,399000,NO,1/1/1968
17211,Calle del Doce de Octubre,,4935.6 €/m2) - District 14: Retiro,82,76,3,1,,379000,NO,1/1/1936
17210,Doctor Velasco,,6739.32 €/m2) - District 14: Retiro,173,145,4,2,,735000,NO,1/1/1920
17209,Pez Austral,,4246.58 €/m2) - District 14: Retiro,162,132,4,3,,625000,YES,1/1/1971
17202,Calle de Jesus Aprendiz,,4935.6 €/m2) - District 14: Retiro,248,213,4,3,,1045000,YES,1/1/1988
17200,Calle Agustín Querol,,6739.32 €/m2) - District 14: Retiro,106,90,3,2,,450000,YES,1/1/1970
17198,Calle del Doctor Esquerdo,,4935.6 €/m2) - District 14: Retiro,203,,5,3,,765000,YES,1/1/1969
17190,Calle de Abtao,,4105.12 €/m2) - District 14: Retiro,46,,1,1,,218000,NO,1/1/1915
17186,Calle SIRIO,,4246.58 €/m2) - District 14: Retiro,129,,4,3,,480000,YES,1/1/1976
17171,Paseo de la Reina Cristina,,6739.32 €/m2) - District 14: Retiro,153,,4,2,,495000,YES,1/1/1977
17170,Avenida de la Ciudad de Barcelona,41,4105.12 €/m2) - District 14: Retiro,80,65,2,1,,320000,NO,1/1/1963
17163,Calle de Narciso Serra,32,4105.12 €/m2) - District 14: Retiro,105,91,3,3,,467000,NO,1/1/1950
17162,Calle de Valderribas,,4105.12 €/m2) - District 14: Retiro,95,,4,2,,349900,NO,1/1/1955
17161,Calle Sirio,52,4246.58 €/m2) - District 14: Retiro,159,136,5,3,,549000,NO,1/1/1979
17160,Calle de Téllez,,4105.12 €/m2) - District 14: Retiro,125,100,1,1,,399000,YES,1/1/1995
17158,Paseo de la Reina Cristina,,6739.32 €/m2) - District 14: Retiro,155,120,4,2,,515000,YES,1/1/1977
17157,Calle de José Martinez de Velasco,,4246.58 €/m2) - District 14: Retiro,142,,5,2,,580000,YES,1/1/1961
17150,Calle Julián Gayarre,,4105.12 €/m2) - District 14: Retiro,145,107,3,2,,580000,NO,1/1/1937
17149,Calle Rafael Salazar Alonso,22,4246.58 €/m2) - District 14: Retiro,109,,2,1,,360000,NO,1/1/1964
17144,Calle Francisco Abril,,4020.62 €/m2) - District 14: Retiro,35,,1,1,,180000,YES,1/1/2020
17142,Calle de Juan Valera,,6739.32 €/m2) - District 14: Retiro,350,322,12,7,,1500000,NO,1/1/1987
17141,Maiquez,46,5492.17 €/m2) - District 14: Retiro,174,126,4,2,,865000,YES,1/1/2018
17140,Calle de Máiquez,46,5492.17 €/m2) - District 14: Retiro,118,83,3,2,,1050000,YES,1/1/2018
17138,Avenida de Menéndez Pelayo,,5492.17 €/m2) - District 14: Retiro,145,120,4,2,,1150000,NO,1/1/1935
17134,Calle del Poeta Esteban Villegas,18,6739.32 €/m2) - District 14: Retiro,190,156,4,3,,780000,YES,1/1/1973
17127,Calle de Luis Mitjans,,4020.62 €/m2) - District 14: Retiro,72,57,2,1,,199000,NO,1/1/1942
17125,Calle de Narciso Serra,,4105.12 €/m2) - District 14: Retiro,62,54,1,1,,149000,NO,1/1/1925
17124,Avenida de la Ciudad de Barcelona,,4020.62 €/m2) - District 14: Retiro,112,,2,2,,395000,YES,1/1/2006
17122,Avenida del Mediterráneo,,4246.58 €/m2) - District 14: Retiro,95,87,3,1,,370000,NO,1/1/1959
17120,Calle de Ángel Ganivet,,4935.6 €/m2) - District 14: Retiro,263,,5,4,3,1318000,YES,1/1/1926
17115,Calle Andrés Torrejón,,6739.32 €/m2) - District 14: Retiro,202,,4,3,,650000,YES,1/1/1972
17114,Calle Valeria,,4020.62 €/m2) - District 14: Retiro,104,82,3,2,,439000,YES,1/1/2002
17112,Calle de Samaria,,4935.6 €/m2) - District 14: Retiro,266,198,4,3,,1169000,NO,1/1/1964
17111,Calle de O'Donnell,,5492.17 €/m2) - District 14: Retiro,159,133,4,3,,649900,NO,1/1/1968
17109,Calle de Máiquez,46,5492.17 €/m2) - District 14: Retiro,177,126,3,3,,910000,YES,1/1/2018
17106,Calle Menorca,,5492.17 €/m2) - District 14: Retiro,108,93,3,1,,623000,YES,1/1/1940
17104,Avenida Pablo Neruda,,1983.7 €/m2) - District 13: Puente de Vallecas,120,87,4,2,,279900,YES,1/1/1993
17102,Calle Lozano,6,2007.79 €/m2) - District 13: Puente de Vallecas,95,85,2,2,,225000,NO,1/1/2000
